section,kind,metric,value
summary,bots,count,50
summary,duration,seconds,300
summary,wall_clock,seconds,310
summary,stopped_early,flag,0
summary,verdict,pass,1
session,bots_launched,count,50
session,bots_entered,count,50
session,game_entries,count,350
session,enter_retries,count,0
session,relogs_completed,count,300
session,sessions_ended,count,350
session,players_died,count,0
session,ack_timeouts,count,0
session,socket_errors,count,0
session,unexpected_disconnects,count,0
session,err_login,count,0
session,err_enter,count,0
session,unmatched_acks,count,0
session,bag_queries_sent,count,350
session,bag_lists_received,count,96
session,items_picked_up,count,24
session,experience_updates,count,24
session,observed_deaths,count,526
session,ground_items_seen,count,1111
session,position_resyncs,count,0
action,turn,sent,2596
action,turn,good,2596
action,turn,fail,0
action,turn,timeout,0
action,turn,p50_ms,71.396
action,turn,p90_ms,90.965
action,turn,p99_ms,124.293
action,turn,max_ms,136.289
action,walk,sent,13617
action,walk,good,10352
action,walk,fail,3265
action,walk,timeout,0
action,walk,p50_ms,71.135
action,walk,p90_ms,91.098
action,walk,p99_ms,124.743
action,walk,max_ms,140.196
action,run,sent,5778
action,run,good,3871
action,run,fail,1907
action,run,timeout,0
action,run,p50_ms,71.165
action,run,p90_ms,91.130
action,run,p99_ms,124.953
action,run,max_ms,140.743
action,hit,sent,84
action,hit,good,84
action,hit,fail,0
action,hit,timeout,0
action,hit,p50_ms,70.466
action,hit,p90_ms,90.736
action,hit,p99_ms,124.884
action,hit,max_ms,124.884
action,pickup,sent,24
action,pickup,good,24
action,pickup,fail,0
action,pickup,timeout,0
action,pickup,p50_ms,78.141
action,pickup,p90_ms,98.328
action,pickup,p99_ms,131.604
action,pickup,max_ms,131.604
received,SM_WALK,count,402200
received,SM_TURN,count,164423
received,SM_RUN,count,144627
received,SM_DISAPPEAR,count,46405
received,SM_HIT,count,2337
received,SM_HEALTHSPELLCHANGED,count,1332
received,SM_STRUCK,count,1332
received,SM_ITEMHIDE,count,1135
received,SM_ITEMSHOW,count,1111
received,SM_DEATH,count,526
received,SM_HEAVYHIT,count,407
received,SM_LOGON,count,350
received,SM_NEWMAP,count,350
received,SM_MAPDESCRIPTION,count,350
received,SM_BIGHIT,count,254
received,SM_BAGITEMS,count,96
received,SM_ADDITEM,count,24
received,SM_WINEXP,count,24
