index,op,severity,details
0,"enter",MATCH,""
1,"bag",MATCH,""
2,"say @who",MATCH,""
3,"turn 2",MATCH,""
4,"walk 2",MATCH,""
5,"walk 2",MATCH,""
6,"turn 4",MATCH,""
7,"walk 4",MATCH,""
8,"walk 4",MATCH,""
9,"turn 6",MATCH,""
10,"walk 6",MATCH,""
11,"walk 6",MATCH,""
12,"turn 0",MATCH,""
13,"walk 0",MATCH,""
14,"walk 0",MATCH,""
15,"run 2",MATCH,""
16,"hit 2",MATCH,""
17,"sleep 1200",MATCH,""
18,"heavyhit 4",MATCH,""
19,"sleep 1200",MATCH,""
20,"bighit 6",MATCH,""
21,"sleep 1200",MATCH,""
22,"pickup",MATCH,""
23,"drop 木剑",MATCH,""
24,"say hello-shadow",MATCH,""
25,"relog",MATCH,""
26,"bag",MATCH,""
27,"walk 4",MATCH,""
28,"turn 0",MATCH,""
