# G4 能力缺口矩阵（W27 P0 · 本文件为唯一权威版本，G4CapabilityMatrixTest 机械校验）
#
# 生成口径（auditable，全部由本仓源码机械导出）：
#   CM/SM 行：GameOfMir/Common/Grobal2.pas 常量全集；wire=gate-game ⇔ 该数值在
#             GameProtocolAdapter.isSupported（CM）/适配器出站引用（SM）中，
#             wire=gate-login ⇔ LegacyGateHandler 实际分发/出站；code 必须与 Delphi 同值。
#   SKILL 行：Grobal2.pas SKILL_* 常量 1..59 × {warrior,wizard,taoist}。
#             job 归属仅在 GEEM2 Magic.DB 存在 (MagID,名称) 双匹配时采纳（cjlaaa/Mir2-GeeM2
#             @9981a8d7，引擎重编号段一律不映射）。
#   MERCHANT/GUILD/SIEGE 标签行：M2Share.pas 1032..1079 特殊标签块（sSL_SENDMSG..sHIREGUARDOK）。
#   DEAL/GUILD 其余行：能力级分组，code 引用对应 CM 码（交叉引用由测试校验）。
#
# 状态枚举（plan 五态）：
#   implemented         线上行为已复刻且有自动化证据（evidence 列必填）
#   needs-client-check  已复刻且有本地证据，但字节级 golden/真实客户端对拍仍挂账（evidence 必填）
#   protocol-only       仅协议占位：Java 有常量、线上无处理/无出站
#   logic-only          仅服务端逻辑：无 Java 常量但线上已处理（预留，当前 0 行）
#   unimplemented       无常量无处理
#
# 列：section / key / code / java_constant / wire / status / evidence / delphi_ref / notes
# evidence 逗号分隔，必须是仓库内真实存在的 *Test 类名或既有文档路径（测试校验）。
section	key	code	java_constant	wire	status	evidence	delphi_ref	notes
CM	CM_POWERBLOCK	0	yes	none	protocol-only	-	Grobal2.pas	0 号占位；Delphi 仅常量
CM	CM_42HIT	42	yes	none	protocol-only	-	Grobal2.pas	占位编号，泄露源无处理分支
CM	CM_QUERYUSERNAME	80	yes	gate-game	implemented	GameProtocolAdapterTest	Grobal2.pas	3×3 内 SM_USERNAME，否则 SM_GHOST
CM	CM_QUERYBAGITEMS	81	yes	gate-game	implemented	GameItemProtocolTest,ClientItemCodecTest	Grobal2.pas	SM_BAGITEMS 全量背包；空包静默 quirk
CM	CM_QUERYUSERSTATE	82	yes	none	protocol-only	-	Grobal2.pas	查询玩家详情（Delphi 回 SM_SENDUSERSTATE 详情窗）
CM	CM_QUERYCHR	100	yes	gate-login	implemented	LegacyGateHandlerTest,CharacterServiceTest	Grobal2.pas	角色列表（≤2）
CM	CM_NEWCHR	101	yes	gate-login	implemented	LegacyGateHandlerTest,CharacterServiceTest	Grobal2.pas	建号
CM	CM_DELCHR	102	yes	gate-login	implemented	LegacyGateHandlerTest,CharacterServiceTest	Grobal2.pas	删号；失败应答当前复用 SM_NEWCHR_FAIL（Delphi 有独立 SM_DELCHR_FAIL）
CM	CM_SELCHR	103	yes	gate-login	implemented	LegacyGateHandlerTest,GateAdmissionIntegrationTest	Grobal2.pas	选人 → SM_STARTPLAY 派发 GAME 端口
CM	CM_SELECTSERVER	104	yes	gate-login	implemented	LegacyGateHandlerTest,GateAdmissionIntegrationTest	Grobal2.pas	选服 → SM_SELECTSERVER_OK 派发 SELECT 端口+认证码
