# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: only id/name pairs 1..33 shared by the 1.50 source and GEEM2 are imported
# note: GEEM2 hero rows and renumbered post-33 skills are deliberately excluded
# columns: magicId	name	effectType	effect	spell	power	maxPower	defSpell	defPower	defMaxPower	job	needL1	l1Train	needL2	l2Train	needL3	l3Train	delay	description
1	火球术	1	1	4	8	8	1	2	2	1	7	20	9	35	11	70	60	
2	治愈术	2	2	7	14	14	0	0	0	2	7	15	11	35	16	70	40	
3	基本剑术	0	0	0	0	0	0	0	0	0	7	27	9	60	12	130	0	
4	精神力战法	0	0	0	0	0	0	0	0	2	9	35	12	130	15	270	0	
5	大火球	1	3	3	6	6	5	10	10	1	15	200	18	270	21	350	60	
6	施毒术	2	4	4	0	0	0	0	0	2	14	70	17	130	20	270	40	
7	攻杀剑术	0	5	0	0	0	0	0	0	0	15	50	17	110	20	180	0	
8	抗拒火环	4	6	8	1	1	0	0	0	1	12	50	15	130	19	220	30	
9	地狱火	5	7	10	14	14	10	6	6	1	16	40	20	200	24	350	60	
10	疾光电影	6	8	30	12	12	30	12	12	1	26	300	29	600	32	1200	100	
11	雷电术	7	9	12	8	28	6	9	9	1	17	80	20	200	23	350	100	
12	刺杀剑术	0	13	0	0	0	0	0	0	0	22	200	24	350	27	600	0	
13	灵魂火符	8	10	5	8	8	2	3	3	2	18	130	21	270	24	400	60	
14	幽灵盾	9	11	15	0	0	0	0	0	2	22	200	24	350	26	700	40	
15	神圣战甲术	9	12	15	0	0	0	0	0	2	25	400	27	600	29	1000	40	
16	困魔咒	10	14	10	0	0	5	0	0	2	28	250	30	500	32	1000	50	
17	召唤骷髅	4	15	16	0	0	8	0	0	2	19	100	22	200	26	350	50	
18	隐身术	4	16	5	0	0	0	0	0	2	20	130	23	270	26	530	50	
19	集体隐身术	8	17	10	0	0	0	0	0	2	21	130	25	270	29	530	50	
20	诱惑之光	2	18	3	3	3	3	0	0	1	13	53	18	110	24	220	60	
21	瞬息移动	4	19	10	0	0	8	0	0	1	19	35	22	100	25	200	50	
22	火墙	4	20	20	3	3	25	3	3	1	24	400	28	1000	33	2000	120	
23	爆裂火焰	2	21	15	8	8	10	6	6	1	22	300	25	500	28	1000	60	
24	地狱雷光	4	22	35	10	30	20	10	30	1	30	400	32	800	34	1200	60	
25	半月弯刀	0	23	0	0	0	3	0	0	0	26	500	28	800	31	1400	0	
26	烈火剑法	0	24	0	0	0	7	0	0	0	35	200	37	400	40	600	0	
27	野蛮冲撞	0	25	15	0	0	0	0	0	0	30	300	32	400	34	600	0	
28	心灵启示	2	26	16	0	0	0	0	0	2	23	150	25	2500	28	400	40	
29	群体治愈术	2	27	12	10	10	30	4	4	2	31	200	33	400	36	800	40	
30	召唤神兽	4	28	16	0	0	24	0	0	2	35	200	37	400	40	600	120	
31	魔法盾	4	29	20	0	0	30	0	0	1	31	300	34	700	38	1000	0	
32	圣言术	2	30	50	0	0	40	0	0	1	32	300	35	700	39	1000	120	
33	冰咆哮	2	31	12	12	12	30	14	14	1	35	400	37	800	40	1200	60	
