# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: rows in original dump order
# columns: name	race	raceImg	appr	level	undead	coolEye	exp	hp	mp	ac	mac	dc	dcMax	mc	sc	speed	hit	walkSpd	walkStep	walkWait	attackSpd
鸡	51	11	160	2	0	0	9	5	0	0	0	1	1	0	0	10	3	1400	1	0	3000
鹿	52	11	161	12	0	0	18	25	0	0	0	2	4	0	0	12	4	1400	1	0	3000
鹿1	97	11	161	50	0	0	100	1200	0	35	35	0	100	0	0	17	20	600	1	0	1500
半兽人	83	19	100	15	0	0	30	30	0	1	0	4	9	0	0	15	6	1500	1	0	2500
半兽人0	83	19	100	15	0	0	30	30	0	1	0	4	9	0	0	15	8	1500	1	0	2500
半兽战士	81	19	101	22	0	0	130	100	0	3	1	5	12	0	0	15	10	1500	1	0	2000
半兽战士0	81	19	101	22	0	0	130	100	0	3	1	6	12	0	0	15	12	1500	1	0	2000
半兽勇士	81	19	102	28	0	1	720	300	0	0	0	15	32	0	0	15	13	1500	1	0	1500
半兽勇士1	81	19	102	50	0	1	720	900	0	100	0	0	80	0	0	17	20	600	1	0	1800
毒蜘蛛	82	19	163	16	0	0	108	65	0	2	1	6	9	0	0	15	8	900	1	0	2500
卫士	11	12	0	99	0	1	1	9999	0	100	100	200	200	200	200	200	200	500	1	0	4000
蛤蟆	83	19	162	12	0	0	20	20	0	0	0	0	5	0	0	13	6	1500	1	0	2500
蛤蟆0	83	19	162	12	0	0	20	20	0	0	0	0	5	0	0	13	8	1500	1	0	2500
蝎子	84	32	83	18	0	0	84	45	0	2	0	7	16	0	0	15	10	1200	1	0	2500
山洞蝙蝠	81	19	80	20	0	0	34	25	0	2	0	4	6	0	0	25	11	1200	1	0	2500
山洞蝙蝠0	81	19	80	20	0	0	34	25	0	2	0	4	6	0	0	25	13	1200	1	0	2500
森林雪人	83	10	1	16	0	0	36	36	0	2	0	7	10	0	0	12	7	1500	1	0	2500
森林雪人0	83	10	1	16	0	0	36	36	0	2	0	7	10	0	0	12	9	1500	1	0	2500
食人花	85	13	10	20	0	0	36	28	0	2	0	6	7	0	0	14	12	1500	1	0	2500
骷髅	86	14	20	18	1	0	140	90	0	0	0	7	10	0	0	13	11	1500	1	0	2500
骷髅0	86	14	20	18	1	0	140	90	0	0	0	7	10	0	0	13	13	1500	1	0	2500
掷斧骷髅	87	15	21	18	1	0	140	100	0	0	0	4	9	0	0	12	15	1500	1	0	2500
掷斧骷髅0	87	15	21	18	1	0	140	100	0	0	0	4	9	0	0	12	17	1500	1	0	2500
骷髅战士	88	14	22	19	1	0	150	105	0	0	0	2	15	0	0	13	11	1500	1	0	2500
骷髅战士0	88	14	22	19	1	0	150	105	0	0	0	2	15	0	0	13	13	1500	1	0	2500
骷髅战将	89	14	23	20	1	0	160	110	0	2	1	7	13	0	0	15	12	1200	1	0	2300
骷髅战将0	89	14	23	20	1	0	160	110	0	2	1	7	13	0	0	15	14	1200	1	0	2300
骷髅精灵	89	14	150	50	1	1	960	500	0	5	4	7	24	0	0	15	14	1200	1	0	2000
骷髅精灵1	89	14	150	50	1	1	100	800	0	0	100	0	60	0	0	17	20	600	1	0	2000
洞蛆	90	16	24	31	0	1	122	80	0	0	0	6	8	0	0	12	12	1000	1	0	2500
多钩猫	81	17	25	13	0	0	23	30	0	0	0	2	4	0	0	12	5	1500	1	0	2500
多钩猫0	81	17	25	13	0	0	23	30	0	0	0	2	4	0	0	12	7	1500	1	0	2500
钉耙猫	81	17	26	13	0	0	27	32	0	0	0	2	4	0	0	12	5	1500	1	0	2500
钉耙猫0	81	17	26	13	0	0	27	32	0	0	0	2	4	0	0	12	7	1500	1	0	2500
稻草人	83	18	27	10	1	0	15	20	0	0	0	1	2	0	0	10	5	1500	1	0	2500
稻草人0	83	18	27	10	1	0	15	20	0	0	0	1	2	0	0	10	7	1500	1	0	2500
稻草人1	83	18	27	50	1	0	100	1000	0	30	30	0	90	0	0	17	20	600	1	0	1500
沃玛战士	97	19	30	30	1	0	310	265	0	3	2	14	28	0	0	15	13	1000	1	0	2000
沃玛战士0	97	19	30	30	1	0	310	265	0	3	2	14	28	0	0	15	15	1000	1	0	2000
沃玛勇士	97	19	32	30	1	0	340	285	0	3	2	16	28	0	0	15	13	1000	1	0	2000
沃玛勇士0	97	19	32	30	1	0	340	285	0	3	2	16	28	0	0	15	15	1000	1	0	2000
沃玛战将	97	19	33	30	1	0	340	285	0	3	2	15	29	0	0	15	13	1000	1	0	2000
沃玛战将0	97	19	33	30	1	0	340	285	0	3	2	15	29	0	0	15	15	1000	1	0	2000
火焰沃玛	91	20	31	31	1	0	350	240	0	0	0	14	26	0	0	20	20	800	1	0	1700
火焰沃玛0	91	20	31	31	1	0	350	240	0	0	0	14	26	0	0	20	20	800	1	0	1700
沃玛卫士	97	19	151	50	1	0	2400	1000	0	8	8	22	42	0	0	20	17	800	1	0	1500
沃玛卫士1	97	19	151	50	1	0	100	600	0	20	20	0	50	0	0	17	20	600	1	0	2500
沃玛卫士2	97	19	151	50	1	0	1	1000	0	50	50	10	25	0	0	17	20	500	1	0	1500
沃玛教主	92	21	34	60	1	1	6000	2200	0	25	25	35	70	0	0	30	20	800	1	0	1500
沃玛教主1	92	21	34	60	1	1	100	100	0	0	0	0	20	0	0	17	20	600	1	0	3000
暗黑战士	93	22	28	26	0	0	240	165	0	3	2	9	17	0	0	15	15	900	1	0	2500
暗黑战士0	93	22	28	26	0	0	240	165	0	3	2	9	17	0	0	15	17	900	1	0	2500
粪虫	90	16	29	26	1	1	215	155	0	3	2	9	17	0	0	15	12	1500	1	0	2500
粪虫0	90	16	29	26	1	1	215	155	0	3	2	9	17	0	0	15	14	1500	1	0	2500
僵尸1	94	40	40	25	1	0	210	155	0	0	0	8	16	0	0	13	13	2000	1	0	3000
