# MIR2 authoritative database import — official 1.76 baseline (GEEM2 dump)
# source: https://github.com/cjlaaa/Mir2-GeeM2 @ 9981a8d7aecc (数据库/GEEM2.db.sql blob bfdc71d5943b7126a98604dca21bd62850f1cccc)
# generated by: java-server/scripts/extract-geem2-db.py — do not hand-edit; re-run the extractor
# note: rows in original dump order (= Idx order)
# note: duplicate StdItems name '火龙气焰' (idx 412 and 671); first row wins by-name lookup
# note: duplicate StdItems name '魔法头盔' (idx 65 and 265); first row wins by-name lookup
# columns: idx	name	stdMode	shape	weight	aniCount	source	reserved	looks	duraMax	ac	ac2	mac	mac2	dc	dc2	mc	mc2	sc	sc2	need	needLevel	price
0	金币1	41	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	金创药(小量)	0	0	1	102	0	0	398	1	30	0	0	0	0	0	0	0	0	0	0	0	40
2	魔法药(小量)	0	0	1	103	0	0	394	1	0	0	40	0	0	0	0	0	0	0	0	0	40
3	肉	40	0	3	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	200
4	布衣(男)	10	1	5	0	0	0	60	5000	2	2	0	1	0	0	0	0	0	0	0	1	120
5	布衣(女)	11	1	5	0	0	0	80	5000	2	2	0	1	0	0	0	0	0	0	0	1	120
6	木剑	5	1	4	0	0	0	30	4000	0	0	0	0	2	5	0	0	0	0	0	1	50
7	铁剑	5	2	10	0	0	0	36	10000	0	0	0	0	5	9	0	0	0	0	0	10	1200
8	青铜剑	5	2	7	0	0	0	31	6000	0	0	0	0	3	7	0	0	0	0	0	5	900
9	轻型盔甲(男)	10	2	8	0	0	0	61	8000	3	3	1	2	0	0	0	0	0	0	0	11	3000
10	轻型盔甲(女)	11	2	8	0	0	0	81	8000	3	3	1	2	0	0	0	0	0	0	0	11	3000
11	干肉	1	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	10
12	包子	2	0	1	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	8
13	凝霜	5	13	20	0	0	0	45	20000	0	0	0	0	10	13	0	0	0	0	0	25	8000
14	火球术	4	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	500
15	治愈术	4	2	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	500
16	基本剑术	4	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	500
17	蜡烛	30	0	1	0	0	0	130	8000	0	0	0	0	0	0	0	0	0	0	0	0	10
18	短剑	5	4	9	0	0	0	33	8000	0	0	0	0	2	10	0	0	0	0	0	7	1000
19	精神力战法	4	2	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	500
20	青铜斧	5	3	13	0	0	0	32	10000	0	0	0	0	0	15	0	0	0	0	0	13	1500
21	重盔甲(女)	11	3	23	0	0	0	82	25000	4	7	2	3	0	0	0	0	0	0	0	22	12000
22	魔法长袍(女)	11	4	12	0	0	0	83	20000	3	5	3	4	0	0	0	2	0	0	0	22	10000
23	灵魂战衣(女)	11	5	15	0	0	0	84	20000	3	6	3	3	0	0	0	0	0	2	0	22	10000
24	重盔甲(男)	10	3	23	0	0	0	62	25000	4	7	2	3	0	0	0	0	0	0	0	22	12000
25	魔法长袍(男)	10	4	12	0	0	0	63	20000	3	5	3	4	0	0	0	2	0	0	0	22	10000
26	灵魂战衣(男)	10	5	15	0	0	0	64	20000	3	6	3	3	0	0	0	0	0	2	0	22	10000
27	大火球	4	1	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2000
28	攻杀剑术	4	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2000
29	施毒术	4	2	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1000
30	匕首	5	6	5	0	0	0	35	5000	0	0	0	0	4	5	0	0	0	0	0	2	500
31	井中月	5	17	58	0	0	0	48	30000	0	0	0	12	7	22	0	0	0	0	0	30	30000
32	银蛇	5	9	26	0	-1	0	38	24000	0	1	0	0	7	14	0	0	1	3	0	26	15000
33	海魂	6	8	12	0	0	0	39	12000	0	0	0	0	3	10	1	2	0	0	0	15	3000
34	修罗	5	7	40	0	0	0	40	25000	0	0	0	0	2	20	0	0	0	0	0	22	10000
35	炼狱	6	11	60	0	0	0	41	28000	0	0	0	0	0	27	0	0	0	0	0	26	25000
36	凌风	5	5	20	0	0	0	34	18000	0	0	0	0	6	12	0	0	0	0	0	19	5000
37	破魂	5	20	8	0	0	0	51	11000	0	2	0	0	8	10	0	0	0	0	0	20	5000
38	斩马刀	5	10	27	0	0	0	37	19000	0	0	0	0	5	15	0	0	0	0	0	20	6000
39	食人树叶	42	0	1	0	0	0	255	1	0	0	0	0	0	0	0	0	0	0	0	0	50
40	毒蜘蛛牙齿	42	0	1	0	0	0	253	1	0	0	0	0	0	0	0	0	0	0	0	0	50
